#id  northing easting
5335 6102232 444626
5336 6102232 446128
5337 6102232 447628
5338 6102232 449127
5339 6102231 450626
5340 6102230 452126
5341 6102230 453628
5342 6102230 455128
5343 6102232 456627
5344 6102230 458126
5345 6102230 459626
5346 6102230 461128
5347 6102231 462628
5348 6102230 464126
5349 6102232 465626
5350 6102232 467128
5351 6102232 468628
5352 6102230 470126
5353 6102232 471626
5354 6102232 473128
5355 6102232 474628
5356 6102230 476126
5357 6102232 477626
5358 6102232 479128
5359 6102232 480628
5360 6102232 482126
5361 6102230 483628
5362 6102232 485128
5363 6102232 486627
5364 6102232 488126
5365 6102230 489628
5366 6102232 491128
5367 6102232 492626
5368 6102232 494126
5369 6102232 495628
5370 6102230 497127
5371 6102232 498626
5372 6102232 500128
5373 6102232 501628
5374 6102230 503126
5375 6103530 440876
5376 6103531 442376
5377 6103529 443876
5378 6103531 445376
5379 6103531 446876
5380 6103529 448377
5381 6103533 449878
5382 6103529 451378
5383 6103531 452878
5384 6103531 454378
5385 6103529 455878
5386 6103531 457378
5387 6103530 458878
5388 6103530 460378
5389 6103531 461878
5390 6103529 463378
5391 6103531 464878
5392 6103531 466378
5393 6103531 467878
5394 6103531 469378
